"Subject","t09","t10","t11","t12","t13","t14","t15","t16"
2,35,8,8,34,37,5,9,34
3,25,21,14,31,22,25,10,35
4,24,13,8,31,36,6,9,31
5,30,2,0,37,35,2,2,31
6,32,10,3,40,41,3,8,34
7,13,17,15,14,29,7,17,14
8,32,2,8,20,28,5,3,23
9,3,10,0,38,8,9,1,34
10,30,11,6,35,35,8,8,28
11,31,7,3,32,38,0,4,35
12,24,15,19,23,25,12,24,17
13,34,7,6,32,39,2,8,27
14,26,18,27,17,26,17,17,22
15,15,4,2,19,18,2,4,14
16,31,16,24,23,26,21,21,23
17,25,8,6,17,23,5,7,26
18,24,15,7,27,28,11,8,25
19,18,11,4,19,19,4,6,15
20,29,18,23,24,34,13,17,27
21,30,3,6,34,34,7,4,32
22,26,18,18,26,31,16,29,15
23,15,29,3,42,35,9,23,19
24,27,19,14,29,39,7,27,19
25,23,12,9,24,31,7,9,18
26,32,9,22,22,20,22,15,31
27,24,7,6,30,30,4,6,29
28,39,8,18,26,35,10,7,40
29,17,24,11,28,32,11,11,30
30,24,19,20,17,36,7,27,16
31,25,11,27,8,29,10,29,7
32,23,14,4,30,33,4,12,13
33,21,19,13,29,31,16,19,28
34,27,19,21,23,35,13,30,17
35,20,1,2,18,18,2,3,17
36,27,17,23,21,19,20,22,22
37,4,42,4,44,6,40,8,40
38,21,21,13,33,25,17,13,29
39,32,5,9,23,32,2,6,24
40,40,5,3,44,44,1,5,41
41,27,14,6,33,43,1,22,13
42,38,5,2,40,39,3,12,27
43,39,6,9,34,31,14,5,39
44,34,10,11,35,30,12,13,29
45,26,20,15,29,27,18,21,25
46,28,14,15,29,30,16,10,31
47,26,18,9,32,33,10,26,19
48,21,9,11,19,19,12,6,27
49,33,4,3,37,38,3,4,34
50,36,8,14,30,38,5,23,16
51,27,19,18,29,21,23,16,28
52,30,8,3,35,38,2,6,31
53,30,12,24,17,30,15,30,9
54,9,31,5,32,26,9,17,15
55,31,10,6,28,32,6,9,21
56,19,13,12,19,20,12,6,22
57,42,2,5,31,36,5,2,33
58,30,15,3,36,40,3,17,22
59,34,0,0,25,35,0,4,19
60,43,4,5,36,39,2,4,39
61,20,22,15,29,19,25,22,18
62,35,7,9,35,33,12,10,36
63,37,9,10,33,41,5,18,22
64,27,14,8,34,35,9,16,32
65,24,19,20,25,35,7,36,11
66,33,6,2,42,43,2,8,36
67,23,9,3,30,31,7,4,31
68,19,12,6,25,38,1,21,5
69,39,8,4,41,43,3,9,35
70,24,14,22,18,17,23,16,25
71,25,9,6,31,34,9,8,30
72,31,3,5,35,43,0,8,22
73,28,14,20,24,37,6,20,19
74,30,13,11,36,35,11,13,34
75,22,19,18,18,34,13,20,17
76,32,11,18,26,35,6,16,27
77,24,20,8,35,33,6,14,22
78,29,13,6,38,38,9,15,23
79,43,4,2,45,45,1,6,41
80,23,25,9,33,40,7,35,11
81,22,23,10,34,36,12,21,24
82,19,24,29,15,16,25,21,20
83,20,25,14,25,29,15,29,14
84,25,16,10,32,32,11,23,14
85,22,11,5,31,27,4,17,16
86,19,13,6,32,42,2,16,23
87,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,NA,NA,NA,NA,NA,NA
88,15,29,31,10,7,39,27,10
89,27,15,8,33,36,6,21,21
90,26,15,15,29,37,8,20,21
91,15,31,8,39,29,12,21,24
92,28,11,10,26,32,10,10,24
93,28,15,27,18,36,7,35,8
94,23,16,23,16,20,22,28,12
95,6,34,9,35,13,28,12,31
96,23,21,5,28,30,15,12,27
97,25,10,10,28,23,13,12,25
98,19,25,20,19,16,25,20,21
99,36,9,17,23,38,7,30,16
100,34,14,24,21,24,22,14,33
101,34,13,30,18,35,12,33,15
102,42,1,44,1,43,0,41,2
103,32,9,0,40,48,0,4,35
104,29,11,4,28,41,1,7,28
105,35,7,12,23,41,4,16,26
106,30,12,27,14,21,19,17,20
107,12,25,3,29,38,2,27,11
108,35,8,3,32,36,1,4,35
109,35,7,1,42,42,4,8,35
110,34,13,23,22,30,17,31,14
111,35,9,4,31,35,8,12,35
112,41,5,20,21,36,10,17,28
113,33,12,10,34,27,15,8,36
114,27,6,7,20,22,8,10,17
115,28,19,22,22,29,18,26,22
116,28,12,11,28,28,9,9,23
117,35,5,6,26,39,4,4,32
118,33,12,14,32,37,11,15,27
119,36,8,11,32,44,3,13,24
120,19,18,5,32,26,10,13,21
121,36,11,9,28,35,11,7,35
122,20,25,25,20,25,21,21,23
123,23,15,9,33,26,17,13,30
124,34,13,15,33,37,11,19,26
125,33,10,16,22,29,14,18,19
126,33,9,3,39,34,8,3,43
127,30,13,10,32,37,5,11,25
128,40,4,9,31,36,6,4,35
129,40,3,2,41,39,1,3,42
130,32,13,12,26,31,11,18,29
131,11,31,7,37,31,12,28,13
132,25,14,14,26,29,14,12,25
133,26,7,5,34,31,7,4,32
134,19,17,14,28,22,19,19,26
135,31,13,31,9,34,5,21,20
136,24,4,4,29,28,2,6,29
137,11,35,11,34,31,14,38,9
138,32,2,7,26,38,1,8,22
139,28,14,17,27,28,12,18,21
140,38,10,6,41,44,4,10,37
141,43,4,2,45,44,3,3,42
142,26,9,11,27,37,7,18,12
143,25,11,8,32,35,8,14,24
144,27,18,26,17,30,12,29,14
145,33,15,8,40,38,8,26,21
146,26,22,33,15,33,15,29,18
147,29,14,32,10,35,8,32,10
148,9,35,2,44,38,6,29,12
149,26,21,14,30,29,16,18,29
150,26,19,10,36,37,10,25,18
151,31,5,4,30,36,5,6,25
152,29,12,12,28,32,6,10,30
153,37,2,7,24,38,8,4,32
154,29,12,20,24,35,8,20,21
155,32,13,18,26,34,14,13,31
156,21,19,13,22,22,16,17,20
157,22,20,19,23,30,16,23,19
158,31,14,9,36,27,17,16,28
159,35,5,9,31,42,5,5,32
160,32,15,32,14,30,18,29,18
161,28,17,9,38,31,14,13,28
162,34,10,24,21,29,16,34,11
163,36,11,26,22,32,15,23,23
164,30,4,6,33,31,2,5,28
165,30,12,6,31,44,1,21,17
166,24,19,17,27,22,19,22,22
167,32,5,7,27,34,7,11,27
168,24,19,14,29,30,10,9,36
169,30,14,19,20,35,12,22,18
170,9,25,9,32,15,24,9,30
171,23,25,20,28,20,26,19,27
172,34,12,16,30,43,5,14,32
173,15,26,17,25,19,20,15,24
174,28,14,9,31,30,11,10,30
175,30,4,0,38,33,5,3,34
176,35,4,3,27,27,2,3,33
177,32,14,32,15,29,18,23,24
178,26,16,3,42,36,8,10,34
179,28,8,15,18,29,7,13,14
180,20,28,16,30,14,30,13,30
181,5,1,0,4,2,1,1,3
182,36,11,24,18,34,12,22,21
183,23,23,15,30,23,20,24,24
184,36,6,6,32,38,4,6,33
185,21,23,18,27,30,11,27,15
186,34,6,22,17,26,15,11,20
187,41,7,27,21,22,25,2,44
188,36,7,7,36,36,11,9,35
189,33,6,10,23,38,5,9,22
190,30,14,20,19,26,19,20,26
191,35,11,21,20,28,16,19,25
192,30,15,7,36,32,11,13,32
193,27,7,4,26,25,10,12,22
194,19,23,13,32,27,17,15,27
195,22,25,25,17,22,21,27,15
196,33,4,15,17,34,5,5,22
197,34,13,19,24,32,12,28,16
198,37,10,19,27,37,8,18,26
199,39,7,2,43,42,5,7,39
200,25,10,2,26,26,6,4,29
201,38,8,7,38,33,7,6,35
202,28,15,13,29,32,10,7,31
203,23,6,15,4,23,3,19,2
204,39,8,10,34,32,9,16,30
205,24,19,9,33,47,0,15,29
206,27,18,16,27,21,19,19,23
